,T,n_h1/n_h,Pressure,Internal_Energy,Specific_Heat
,13200,0.9758882571,2152.4028199209,15937.3165441008,587848304.526307
,13300,0.9781097754,2171.1472110815,15994.3633251413,553717635.099756
,13400,0.9801075284,2189.6808201516,16048.1799027878,523181164.694335
,13500,0.9819052547,2208.0245540454,16099.1067762977,495860639.035399
,13600,0.9835241334,2226.1972309425,16147.4479836385,471414413.63036
,13700,0.9849830761,2244.2158043258,16193.4752344705,449534618.592856
,13800,0.9862989629,2262.095538651,16237.4312523989,429944614.819959
,13900,0.9874868181,2279.8501263175,16279.5322298923,412396924.8737
,14000,0.988560054,2297.4918938086,16319.9713243573,396670034.185494
,14100,0.989530599,2315.0318832673,16358.920437657,382566562.704447
,14200,0.9904090838,2332.4800098606,16396.5328815284,369910574.709354
,14300,0.9912049945,2349.8451894195,16432.9455684605,358545269.166803
,14400,0.9919267709,2367.1354068085,16468.2803808533,348331351.582222
,14500,0.9925819427,2384.357836986,16502.6461402234,339144901.979367
,14600,0.9931772264,2401.5189233864,16536.1399776462,330875771.579735
,14700,0.9937186158,2418.6244547324,16568.8486338606,323426065.216047
,14800,0.9942114642,2435.6796349206,16600.8496270824,316708767.447002
,14900,0.9946605531,2452.6891416823,16632.2122423095,310646550.30495
,15000,0.9950701592,2469.6571858667,16662.9984920412,305170642.352977
,15100,0.9954441091,2486.5875581796,16693.2638924557,300219882.249029
,15200,0.9957858282,2503.483672754,16723.058174067,295739858.778946
,15300,0.9960983875,2520.3486091622,16752.4259486697,291682119.488511
,15400,0.9963845408,2537.1851451745,16781.4072440466,288003512.714115
,15500,0.99664676,2553.9957891548,16810.0380156441,284665575.929229
,15600,0.9968872656,2570.7828071091,16838.350578333,281634010.965127
,15700,0.9971080548,2587.5482489801,16866.3740144976,278878201.281157
,15800,0.9973109242,2604.2939694959,16894.1345055758,276370807.51681
,15900,0.9974974923,2621.0216485964,16921.6556474429,274087394.395367
,16000,0.9976692183,2637.7328093267,16948.9587263315,272006104.034777
,16100,0.9978274184,2654.4288332313,16976.0629572264,270107371.835897
,16200,0.9979732817,2671.1109748829,17002.9857045609,268373669.080671
,16300,0.9981078825,2687.7803743054,17029.7426720407,266789279.784046
,16400,0.9982321929,2704.4380679985,17056.3480706547,265340103.777782
,16500,0.9983470931,2721.0849999487,17082.8147810259,264013473.910668
,16600,0.9984533804,2737.7220293905,17109.1544747253,262798009.746755
,16700,0.9985517782,2754.3499399555,17135.3777468425,261683471.71144
,16800,0.9986429434,2770.9694470786,17161.4942253185,260660637.910787
,16900,0.9987274724,2787.5812035847,17187.5126570851,259721202.16502
,17000,0.9988059075,2804.1858058946,17213.4409981274,258857674.992799
,17100,0.9988787425,2820.7838000622,17239.2864989034,258063292.788876
,17200,0.9989464268,2837.3756851817,17265.0557590309,257331950.66339
,17300,0.9990093713,2853.9619206542,17290.7548212433,256658115.097491
,17400,0.9990679478,2870.5429227183,17316.3891490103,256036810.911987
,17500,0.9991224987,2887.1190777937,17341.9637815835,255463503.68053
,17600,0.9991733357,2903.6907391486,17367.4833098892,254934093.707362
,17700,0.9992207443,2920.2582316128,17392.9519368858,254444861.106095
,17800,0.9992649853,2936.8218536008,17418.3735082258,253992430.893648
,17900,0.9993062977,2953.381879598,17443.7515467842,253573737.712518
,18000,0.9993449007,2969.9385626784,17469.0892864699,253185992.825193
,18100,0.999380995,2986.4921357307,17494.3896918544,252826660.737125
,18200,0.9994147651,3003.0428137045,17519.6554875801,252493431.640273
,18300,0.9994463805,3019.5907948528,17544.8891767615,252184201.306388
,18400,0.9994759968,3036.1362624046,17570.0930631783,251897049.970968
,18500,0.9995037572,3052.6793853471,17595.2692638975,251630227.424462
,18600,0.9995297937,3069.2203202437,17620.4197318671,251382133.589635
,18700,0.9995542277,3085.759211803,17645.5462654671,251151306.939276
,18800,0.999577171,3102.2961940722,17670.6505239492,250936410.440817
,18900,0.9995987271,3118.8313911142,17695.7340373654,250736221.049116
,19000,0.9996189911,3135.3649180669,17720.7982199618,250549617.967951
,19100,0.9996380511,3151.8968817307,17745.8443785917,250375574.015564
,19200,0.9996559885,3168.4273811826,17770.873721159,250213147.405193
,19300,0.9996728785,3184.9565084946,17795.8873658297,250061473.556319
,19400,0.9996887907,3201.4843491368,17820.8863469593,249919758.921084
,19500,0.9997037896,3218.0109827275,17845.8716241823,249787273.583255
,19600,0.999717935,3234.5364832546,17870.8440862095,249663346.764576
,19700,0.9997312822,3251.0609196025,17895.8045574236,249547361.217351
,19800,0.9997438826,3267.5843559783,17920.7538033477,249438748.423628
,19900,0.9997557839,3284.1068521877,17945.6925345512,249336984.757149
,20000,0.9997670303,3300.6284640064,17970.6214113406,249241587.466483
